Date,Open,High,Low,Close,Adjsutment close,Volume
07-04-1981,-0.020801586,-0.020945034,-0.020612505,-0.020802848,-0.020175801,-0.682069524
08-04-1981,-0.020551466,-0.020641053,-0.020331649,-0.020524703,-0.019924418,-0.642582734
09-04-1981,-0.020440324,-0.020558162,-0.020219327,-0.020413465,-0.019823853,-0.675710816
10-04-1981,-0.020356968,-0.020475272,-0.020135085,-0.020330037,-0.019748473,-0.602232417
13-04-1981,-0.020356968,-0.020475272,-0.020135085,-0.020330037,-0.019748473,-0.663228909
14-04-1981,-0.020356968,-0.020475272,-0.020135085,-0.020330037,-0.019748473,-0.696199985
15-04-1981,-0.020634823,-0.020779204,-0.020443972,-0.020635941,-0.020024983,-0.60019135
16-04-1981,-0.020968299,-0.021110815,-0.020780989,-0.020969705,-0.02032662,-0.635831514
20-04-1981,-0.020829371,-0.020945034,-0.020612505,-0.020802848,-0.020175801,-0.595638201
21-04-1981,-0.020440324,-0.020558162,-0.020219327,-0.020413465,-0.019823853,-0.619502981
22-04-1981,-0.02021804,-0.020337121,-0.019994682,-0.020190989,-0.019622782,-0.652945073
23-04-1981,-0.020051327,-0.02017134,-0.019826199,-0.020024132,-0.019471964,-0.516193607
24-04-1981,-0.020051327,-0.02019897,-0.01988236,-0.020079751,-0.019522217,-0.596658735
27-04-1981,-0.020134684,-0.02028186,-0.019938521,-0.02013537,-0.019572529,-0.584490837
28-04-1981,-0.020245826,-0.020392381,-0.020050843,-0.020246608,-0.019673035,-0.606707063
29-04-1981,-0.020329182,-0.020475272,-0.020135085,-0.020330037,-0.019748473,-0.671707185
30-04-1981,-0.020245826,-0.020337121,-0.020022763,-0.020218799,-0.019647909,-0.675318303
01-05-1981,-0.020245826,-0.020337121,-0.020022763,-0.020218799,-0.019647909,-0.661501852
04-05-1981,-0.020245826,-0.020392381,-0.020050843,-0.020246608,-0.019673035,-0.668881093
05-05-1981,-0.020273611,-0.020420011,-0.020078924,-0.020274418,-0.01969822,-0.658047739
06-05-1981,-0.020440324,-0.020585792,-0.020247408,-0.020441275,-0.019849038,-0.653102078
07-05-1981,-0.020384753,-0.020502902,-0.020163166,-0.020357846,-0.0197736,-0.686701175
08-05-1981,-0.020329182,-0.020447642,-0.020107005,-0.020302227,-0.019723347,-0.691803842
11-05-1981,-0.020440324,-0.020585792,-0.020247408,-0.020441275,-0.019849038,-0.67767338
12-05-1981,-0.02046811,-0.020530532,-0.020247408,-0.020441275,-0.019849038,-0.70459976
13-05-1981,-0.02046811,-0.020558162,-0.020275488,-0.020469084,-0.019874165,-0.702323185
14-05-1981,-0.020523681,-0.020668683,-0.02035973,-0.020552513,-0.019949545,-0.702244683
15-05-1981,-0.020440324,-0.020502902,-0.020219327,-0.020413465,-0.019823853,-0.702323185
18-05-1981,-0.020329182,-0.020420011,-0.020107005,-0.020302227,-0.019723347,-0.70491377
19-05-1981,-0.020412539,-0.020558162,-0.020219327,-0.020413465,-0.019823853,-0.630414837
20-05-1981,-0.020245826,-0.020337121,-0.020022763,-0.020218799,-0.019647909,-0.672963226
21-05-1981,-0.019884564,-0.020005509,-0.019657665,-0.019857226,-0.019321087,-0.60662856
